,date,volume
254,2019-09-13,10
255,2019-09-14,7
256,2019-09-15,7
257,2019-09-16,9
258,2019-09-17,23
259,2019-09-18,10
260,2019-09-19,8
261,2019-09-20,9
262,2019-09-21,8
263,2019-09-22,10
264,2019-09-23,13
265,2019-09-24,9
266,2019-09-25,11
267,2019-09-26,9
268,2019-09-27,11
269,2019-09-28,10
270,2019-09-29,11
271,2019-09-30,8
272,2019-10-01,14
273,2019-10-02,7
274,2019-10-03,8
275,2019-10-04,9
276,2019-10-05,6
277,2019-10-06,9
278,2019-10-07,8
279,2019-10-08,9
280,2019-10-09,10
281,2019-10-10,13
282,2019-10-11,12
283,2019-10-12,9
284,2019-10-13,11
285,2019-10-14,11
286,2019-10-15,10
287,2019-10-16,9
288,2019-10-17,10
289,2019-10-18,11
290,2019-10-19,8
291,2019-10-20,10
292,2019-10-21,8
293,2019-10-22,12
294,2019-10-23,9
295,2019-10-24,11
296,2019-10-25,11
297,2019-10-26,9
298,2019-10-27,10
299,2019-10-28,17
300,2019-10-29,12
301,2019-10-30,11
302,2019-10-31,9
303,2019-11-01,10
304,2019-11-02,8
305,2019-11-03,9
306,2019-11-04,10
307,2019-11-05,9
308,2019-11-06,10
309,2019-11-07,8
310,2019-11-08,12
311,2019-11-09,10
312,2019-11-10,11
313,2019-11-11,9
314,2019-11-12,8
315,2019-11-13,8
316,2019-11-14,8
317,2019-11-15,9
318,2019-11-16,8
319,2019-11-17,8
320,2019-11-18,9
321,2019-11-19,9
322,2019-11-20,8
323,2019-11-21,8
324,2019-11-22,10
325,2019-11-23,9
326,2019-11-24,8
327,2019-11-25,8
328,2019-11-26,9
329,2019-11-27,7
330,2019-11-28,11
331,2019-11-29,13
332,2019-11-30,8
333,2019-12-01,9
334,2019-12-02,10
335,2019-12-03,9
336,2019-12-04,9
337,2019-12-05,8
338,2019-12-06,14
339,2019-12-07,10
340,2019-12-08,9
341,2019-12-09,12
342,2019-12-10,10
343,2019-12-11,12
344,2019-12-12,8
345,2019-12-13,13
346,2019-12-14,3
347,2019-12-15,1
348,2019-12-16,1
349,2019-12-17,9
350,2019-12-18,8
351,2019-12-19,8
352,2019-12-20,11
353,2019-12-21,8
354,2019-12-22,9
355,2019-12-23,9
356,2019-12-24,8
357,2019-12-25,8
358,2019-12-26,9
359,2019-12-27,9
360,2019-12-28,9
361,2019-12-29,9
362,2019-12-30,9
363,2019-12-31,9
364,2020-01-01,7
365,2020-01-02,8
366,2020-01-03,13
367,2020-01-04,7
368,2020-01-05,8
369,2020-01-06,9
370,2020-01-07,10
371,2020-01-08,11
372,2020-01-09,9
373,2020-01-10,10
374,2020-01-11,8
375,2020-01-12,10
376,2020-01-13,9
377,2020-01-14,9
378,2020-01-15,8
379,2020-01-16,7
380,2020-01-17,11
381,2020-01-18,9
382,2020-01-19,9
383,2020-01-20,8
384,2020-01-21,8
385,2020-01-22,9
386,2020-01-23,9
387,2020-01-24,10
388,2020-01-25,9
389,2020-01-26,10
390,2020-01-27,9
391,2020-01-28,9
392,2020-01-29,8
393,2020-01-30,8
394,2020-01-31,10
395,2020-02-01,9
396,2020-02-02,11
397,2020-02-03,10
398,2020-02-04,11
399,2020-02-05,10
400,2020-02-06,8
401,2020-02-07,14
402,2020-02-08,7
403,2020-02-09,9
404,2020-02-10,9
405,2020-02-11,10
406,2020-02-12,8
407,2020-02-13,9
408,2020-02-14,9
409,2020-02-15,9
410,2020-02-16,10
411,2020-02-17,10
412,2020-02-18,10
413,2020-02-19,9
414,2020-02-20,8
415,2020-02-21,9
416,2020-02-22,7
417,2020-02-23,9
418,2020-02-24,12
419,2020-02-25,9
420,2020-02-26,16
421,2020-02-27,11
422,2020-02-28,8
423,2020-02-29,8
424,2020-03-01,10
425,2020-03-02,10
426,2020-03-03,10
427,2020-03-04,8
428,2020-03-05,9
429,2020-03-06,9
430,2020-03-07,8
431,2020-03-08,10
432,2020-03-09,11
433,2020-03-10,11
434,2020-03-11,10
435,2020-03-12,10
436,2020-03-13,10
437,2020-03-14,10
438,2020-03-15,9
439,2020-03-16,13
440,2020-03-17,11
441,2020-03-18,8
442,2020-03-19,10
443,2020-03-20,10
444,2020-03-21,7
445,2020-03-22,9
446,2020-03-23,9
447,2020-03-24,11
448,2020-03-25,9
449,2020-03-26,8
450,2020-03-27,12
451,2020-03-28,8
452,2020-03-29,10
453,2020-03-30,11
454,2020-03-31,9
455,2020-04-01,9
456,2020-04-02,8
457,2020-04-03,9
458,2020-04-04,8
459,2020-04-05,9
460,2020-04-06,10
461,2020-04-07,10
462,2020-04-08,8
463,2020-04-09,9
464,2020-04-10,11
465,2020-04-11,8
466,2020-04-12,8
467,2020-04-13,9
468,2020-04-14,11
469,2020-04-15,8
470,2020-04-16,7
471,2020-04-17,13
472,2020-04-18,9
473,2020-04-19,10
474,2020-04-20,10
475,2020-04-21,9
476,2020-04-22,8
477,2020-04-23,9
478,2020-04-24,10
479,2020-04-25,10
480,2020-04-26,10
481,2020-04-27,9
482,2020-04-28,9
483,2020-04-29,8
484,2020-04-30,9
485,2020-05-01,11
486,2020-05-02,8
487,2020-05-03,8
488,2020-05-04,8
489,2020-05-05,8
490,2020-05-06,8
491,2020-05-07,9
492,2020-05-08,11
493,2020-05-09,8
494,2020-05-10,10
495,2020-05-11,10
496,2020-05-12,10
497,2020-05-13,7
498,2020-05-14,8
499,2020-05-15,11
500,2020-05-16,8
501,2020-05-17,9
502,2020-05-18,11
503,2020-05-19,10
504,2020-05-20,8
505,2020-05-21,8
506,2020-05-22,10
507,2020-05-23,9
508,2020-05-24,9
509,2020-05-25,10
510,2020-05-26,12
511,2020-05-27,7
512,2020-05-28,8
513,2020-05-29,11
514,2020-05-30,5
515,2020-05-31,8
516,2020-06-01,11
517,2020-06-02,10
518,2020-06-03,9
519,2020-06-04,10
520,2020-06-05,11
521,2020-06-06,7
522,2020-06-07,8
523,2020-06-08,8
524,2020-06-09,8
